Seq	JH1T	JH1O	JH1S	JH3T	JH3O	JH3S	JH4T	JH4O	JH4S	JH5T	JH5O	JH5S	JH6T	JH6O	JH6S	JH7T	JH7O	JH7S
Seq28564	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
Seq28565	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3
Seq28566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Seq28567	0	0	0	1	0	4	0	3	0	12	28	26	12	45	26	22	72	47
Seq28568	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0
Seq28569	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	2
Seq28570	0	0	0	0	0	0	0	0	0	0	2	0	0	13	0	0	8	4
Seq28571	0	0	0	0	0	0	0	0	0	0	13	2	0	41	0	0	0	14
Seq28572	1	0	0	1	1	1	0	4	1	12	20	7	26	97	41	19	45	22
Seq28573	0	0	1	1	0	0	0	76	0	13	2	0	0	13	12	2	15	4
Seq28574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Seq28575	1	0	0	5	0	0	1	0	0	0	2	3	0	2	2	2	0	4
Seq28576	0	0	0	0	0	0	0	0	0	1	3	6	33	2	3	3	36	5
Seq28577	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	4
Seq28578	1	0	0	0	0	0	0	0	0	1	0	4	0	0	33	1	2	17
Seq28579	0	0	0	0	0	0	0	0	0	2	3	0	0	0	1	0	1	1
Seq28580	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	1	0
Seq28581	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Seq28582	0	0	0	0	0	0	0	1	1	2	3	2	1	1	1	1	5	1
Seq28583	0	0	0	1	0	0	0	0	0	1	1	7	13	43	15	7	12	5
Seq28584	0	0	0	2	0	0	0	2	1	0	0	2	6	47	0	1	1	0
Seq28585	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
Seq28586	1	0	1	3	1	1	0	0	0	22	82	9	21	108	15	125	443	17
Seq28587	0	0	0	0	0	0	0	0	0	0	0	4	12	8	0	2	4	19
Seq28588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Seq28589	0	0	0	0	0	0	0	2	0	0	1	1	14	1	1	0	0	0
Seq28590	0	0	0	0	0	0	0	1	0	3	5	0	0	1	3	19	48	2
Seq28591	0	0	0	1	0	0	0	0	5	2	6	0	0	2	101	6	24	2
Seq28592	0	0	0	0	0	0	0	10	0	3	5	1	33	7	3	1	24	1
Seq28593	0	0	0	0	0	0	0	0	0	0	1	12	0	1	0	0	10	2
Seq28594	0	0	0	8	0	0	0	0	1	6	1	1	0	7	0	1	1	3
Seq28595	0	0	0	0	0	0	0	0	0	1	1	9	1	1	0	1	20	4
Seq28596	0	0	0	0	1	0	0	1	0	5	4	0	0	0	23	13	22	2
Seq28597	0	0	0	4	1	0	1	0	0	16	6	1	1	9	22	13	62	2
Seq28598	0	0	0	2	1	0	0	0	0	21	5	0	0	0	0	6	35	0
Seq28599	0	0	0	2	0	0	0	4	17	92	33	3	2	10	849	124	288	24
Seq28600	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	1	0	0
Seq28601	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Seq28602	1	0	2	9	3	1	5	22	0	175	65	51	134	197	1329	48	112	331
Seq28603	0	0	0	0	0	0	0	0	0	2	2	0	4	2	3	2	0	12
Seq28604	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
Seq28605	0	0	0	0	0	0	0	0	0	1	0	0	1	5	8	0	0	0
Seq28606	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0
Seq28607	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
Seq28608	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Seq28609	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Seq28610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Seq28611	0	0	0	0	0	2	0	0	0	3	3	0	0	0	4	0	4	2
Seq28612	0	0	0	0	0	0	0	0	0	25	0	2	0	0	29	0	1	0
Seq28613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Seq28614	0	0	0	4	0	0	0	1	1	1	2	57	14	5	12	0	5	7
Seq28615	0	0	0	1	0	0	0	0	0	0	2	3	0	0	21	5	2	19
Seq28616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Seq28617	0	0	0	0	0	0	0	7	0	7	2	1	0	3	18	0	9	2
Seq28618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Seq28619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Seq28620	0	0	0	0	0	0	0	5	0	0	4	0	0	9	0	1	2	7
Seq28621	0	0	0	0	0	0	0	0	0	1	0	0	0	0	44	0	4	0
Seq28622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Seq28623	0	0	0	0	1	0	0	0	0	3	0	1	1	0	0	1	0	0
Seq28624	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	1	1	0
